trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1783853843000-649034868264558592-1284477133422329856,1284477133422329856,1783853843000,1783858399000,18.807,9.369
1783853843000-649034868264558592-1284477133422329856,1284477133422329856,1783858400000,1783865237000,18.807,9.369
1783857391000-649034868264558592-1066488795177680896,1066488795177680896,1783857391000,1783862477000,83.885,29.935
1783857391000-649034868264558592-1066488795177680896,1066488795177680896,1783862478000,1783869251000,83.885,29.935
1783873385000-649034868264558592-1220369221305761792,1220369221305761792,1783873385000,1783896677000,215.132,81.93
1783873385000-649034868264558592-1220369221305761792,1220369221305761792,1783896678000,1783917039000,215.132,81.93
1783875474000-649034868264558592-1474013287929610240,1474013287929610240,1783875474000,1783893168000,272.824,84.482
1783875474000-649034868264558592-1474013287929610240,1474013287929610240,1783893169000,1783912553000,272.824,84.482
