tags,id,start_time,end_time,account_id,vehicle_id,driver_id,driver_type,trip_id,driver_session_id,distance,mileage,loss,idling_alert_fuel_consumed,ready,alert_breath_test_duration,alert_breath_test_count,alert_camera_tampered_duration,alert_camera_tampered_count,alert_distracted_driving_duration,alert_distracted_driving_count,alert_drowsiness_duration,alert_drowsiness_count,alert_emergency_recording_duration,alert_emergency_recording_count,alert_eyes_closed_duration,alert_eyes_closed_count,alert_fcw_duration,alert_fcw_count,alert_lane_departure_warning_duration,alert_lane_departure_warning_count,alert_mobile_phone_duration,alert_mobile_phone_count,alert_pcw_duration,alert_pcw_count,alert_sd_card_tampered_duration,alert_sd_card_tampered_count,alert_seatbelt_violation_duration,alert_seatbelt_violation_count,alert_tailgating_duration,alert_tailgating_count,alert_smoking_duration,alert_smoking_count,alert_idling_duration,alert_idling_count,alert_over_speed_duration,alert_over_speed_count,alert_speeding_duration,alert_speeding_count,alert_freerun_duration,alert_freerun_count,alert_over_acc_duration,alert_over_acc_count,alert_hard_brake_duration,alert_hard_brake_count,alert_unscheduled_driving_duration,alert_unscheduled_driving_count,alert_slow_running_duration,alert_slow_running_count,alert_continuous_driving_duration,alert_continuous_driving_count,alert_fuel_chori_amount,alert_fuel_chori_count,alert_def_chori_amount,alert_def_chori_count,accident_count,unresolved_alerts_count,day_driving_duration,night_driving_duration,driver_idle_duration_before_trip,vehicle_idle_duration_before_trip,total_alerts_count,gear_utilization,peak_torque_range,fuel_smart_mode,terrain,uphill_slope,engine_load,engine_hours,fuel_consumed,adblue_consumed,avg_speed,last_gear_utilization,last_two_gear_utilization,below_ptr_duration,between_ptr_duration,above_ptr_duration,alert_stoppage_duration,alert_stoppage_count,last_gear_utilization_duration,last_two_gear_utilization_duration,total_gear_utilization_duration,first_gear_pickup_count,second_gear_pickup_count,third_and_higher_gear_pickup_count
[],943859348893859840-1786193955000,1786193955000,1786194072000,632578958264631296,943859348893859840,,,1786193955000-632578958264631296-943859348893859840,,0.032,0.762,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,,0,0,,,,,,,0.024444444,0.042,,0.9846154,,,,,,0,0,,,,,,
[],1079796452147855360-1786193949000,1786193949000,1786194422000,632578958264631296,1079796452147855360,,,1786193949000-632578958264631296-1079796452147855360,,0.393,1.861,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,473,0,,0,1,,,,,,,0.1,0.211,,2.9911206,,,,,,510,1,,,,,,
[],1385305434218299392-1786193945000,1786193945000,1786194521000,632578958264631296,1385305434218299392,,,1786193945000-632578958264631296-1385305434218299392,,0.269,0.405,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,576,0,,0,1,,,,,,19.48,0.1,0.665,,1.68125,,,,,,7767,1,,,,,,
[],876044057397166080-1786193942000,1786193942000,1786194990000,632578958264631296,876044057397166080,,,1786193942000-632578958264631296-876044057397166080,,4.844,2.828,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1048,0,,0,1,"{'fifth_gear_duration': 14.997803150909267, 'first_gear_duration': 5.43038270822991, 'sixth_gear_duration': 11.868919435552435, 'third_gear_duration': 16.7284637462839, 'fourth_gear_duration': 37.96474770472066, 'second_gear_duration': 13.009683254303827}",,"{'MODE_HEAVY': 100, 'MODE_LIGHT': 0, 'MODE_TURBO': 0}","{'up': 0, 'down': 0, 'plane': 100}",,44.16,0.2,1.713,,16.639694,11.868919,26.866722,543419.0,75335.0,0.0,398,1,104.002,235.421,876.255,1.0,2.0,0.0
[],1042868881099587584-1786193936000,1786193936000,1786194506000,632578958264631296,1042868881099587584,,,1786193936000-632578958264631296-1042868881099587584,,0.02,0.032,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,,0,0,,,,,,,0.1,0.629,,0.12631579,,,,,,0,0,,,,,,
[],1172939590688833536-1786193930000,1786193930000,1786200788000,632578958264631296,1172939590688833536,,,1786193930000-632578958264631296-1172939590688833536,,81.017,3.265,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1870,4988,,0,2,"{'fifth_gear_duration': 2.0241458422100953, 'first_gear_duration': 0.36884274329153083, 'sixth_gear_duration': 2.2236258772734683, 'third_gear_duration': 0.9412294705603917, 'eighth_gear_duration': 84.58564654198113, 'fourth_gear_duration': 1.487200529888533, 'second_gear_duration': 0.6103799240923651, 'seventh_gear_duration': 7.7589290707024725}",,,"{'up': 37.72908157922298, 'down': 31.897319091004277, 'plane': 30.373599329772745}",0.4039015,38.74,1.9,24.81,,42.52861,84.58565,92.344574,97087.0,3996320.0,0.0,1253,2,5369.924,5862.5,6348.505,2.0,1.0,0.0
[],932335222958063616-1786193896000,1786193896000,1786194539000,632578958264631296,932335222958063616,,,1786193896000-632578958264631296-932335222958063616,,4.537,2.102,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,643,0,,0,1,"{'fifth_gear_duration': 6.078384519288008, 'first_gear_duration': 0, 'sixth_gear_duration': 7.074016315785061, 'third_gear_duration': 4.733547970587989, 'eighth_gear_duration': 37.9398596473577, 'fourth_gear_duration': 6.078384519288008, 'second_gear_duration': 4.453932640792816, 'seventh_gear_duration': 33.64187438690042}",,,"{'up': 0, 'down': 0, 'plane': 100}",,35.4,0.2,2.158,,25.401556,37.93986,71.58173,,,,1988,1,181.005,341.505,477.084,1.0,0.0,0.0
[],944571594812948480-1786193886000,1786193886000,1786194115000,632578958264631296,944571594812948480,,,1786193886000-632578958264631296-944571594812948480,,2.193,5.483,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,229,0,,0,1,,,,,,23.83,,0.4,,34.47511,,,,,,871,1,,,,,,
[],1083727333329731584-1786193876000,1786193876000,1786194169000,632578958264631296,1083727333329731584,,,1786193876000-632578958264631296-1083727333329731584,,0.013,0.053,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,,0,0,,,,,,,0.06505556,0.245,,0.15972696,,,,,,0,0,,,,,,
[],1050037048276156416-1786193874000,1786193874000,1786194146000,632578958264631296,1050037048276156416,,,1786193874000-632578958264631296-1050037048276156416,,2.193,4.573,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272,0,,0,1,,,,,,40.79,0.050902776,0.48,,29.025,,,,,,886,1,,,,,,
