trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1777488602000-649034868264558592-1537489458834702336,1537489458834702336,1777488602000,1777511846000,358.234,107.184
1777488602000-649034868264558592-1537489458834702336,1537489458834702336,1777511847000,1777518270000,99.327,29.208
1777538382000-649034868264558592-1494313280225673216,1494313280225673216,1777538382000,1777560980000,238.262,85.744
1777538382000-649034868264558592-1494313280225673216,1494313280225673216,1777560981000,1777570987000,82.027,34.176
1777538382000-649034868264558592-1494313280225673216,1494313280225673216,1777570988000,1777587123000,193.146,50.43
1777538382000-649034868264558592-1494313280225673216,1494313280225673216,1777587124000,1777596052000,193.146,50.43
1777556524000-649034868264558592-1494312472553717760,1494312472553717760,1777556524000,1777562129000,24.516,14.263
1777556524000-649034868264558592-1494312472553717760,1494312472553717760,1777562130000,1777565461000,59.469,16.234
1777569977000-649034868264558592-1537489458834702336,1537489458834702336,1777569977000,1777578799000,111.07,35.701
1777569977000-649034868264558592-1537489458834702336,1537489458834702336,1777578800000,1777601082000,357.221,102.753
1777569977000-649034868264558592-1537489458834702336,1537489458834702336,1777601083000,1777611005000,65.71,20.316
1777570184000-649034868264558592-1140330319757443072,1140330319757443072,1777570184000,1777595279000,342.184,139.075
1777570184000-649034868264558592-1140330319757443072,1140330319757443072,1777595280000,1777598925000,375.94,104.444
