tags,id,start_time,end_time,account_id,vehicle_id,driver_id,driver_type,trip_id,driver_session_id,distance,mileage,loss,idling_alert_fuel_consumed,ready,alert_breath_test_duration,alert_breath_test_count,alert_camera_tampered_duration,alert_camera_tampered_count,alert_distracted_driving_duration,alert_distracted_driving_count,alert_drowsiness_duration,alert_drowsiness_count,alert_emergency_recording_duration,alert_emergency_recording_count,alert_eyes_closed_duration,alert_eyes_closed_count,alert_fcw_duration,alert_fcw_count,alert_lane_departure_warning_duration,alert_lane_departure_warning_count,alert_mobile_phone_duration,alert_mobile_phone_count,alert_pcw_duration,alert_pcw_count,alert_sd_card_tampered_duration,alert_sd_card_tampered_count,alert_seatbelt_violation_duration,alert_seatbelt_violation_count,alert_tailgating_duration,alert_tailgating_count,alert_smoking_duration,alert_smoking_count,alert_idling_duration,alert_idling_count,alert_over_speed_duration,alert_over_speed_count,alert_speeding_duration,alert_speeding_count,alert_freerun_duration,alert_freerun_count,alert_over_acc_duration,alert_over_acc_count,alert_hard_brake_duration,alert_hard_brake_count,alert_unscheduled_driving_duration,alert_unscheduled_driving_count,alert_slow_running_duration,alert_slow_running_count,alert_continuous_driving_duration,alert_continuous_driving_count,alert_fuel_chori_amount,alert_fuel_chori_count,alert_def_chori_amount,alert_def_chori_count,accident_count,unresolved_alerts_count,day_driving_duration,night_driving_duration,driver_idle_duration_before_trip,vehicle_idle_duration_before_trip,total_alerts_count,gear_utilization,peak_torque_range,fuel_smart_mode,terrain,uphill_slope,engine_load,engine_hours,fuel_consumed,adblue_consumed,avg_speed,last_gear_utilization,last_two_gear_utilization,below_ptr_duration,between_ptr_duration,above_ptr_duration,alert_stoppage_duration,alert_stoppage_count
[],931938125880492032-1778610588000,1778610588000,1778611571000,632578958264631296,931938125880492032,,,1778610588000-632578958264631296-931938125880492032,,7.0,0.006,,0.6,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.748,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,983,,1651.0,1,,,,,,,0.25,1.092,,28.0,,,,,,0,0
[],946027472992862208-1778610529000,1778610529000,1778614642000,632578958264631296,946027472992862208,,,1778610529000-632578958264631296-946027472992862208,,32.389,5.248,,0.19,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.148,1,0,0,0,0,0.0,0,0,0,0,0,3040,1,0,0,0,0,0,0,0,0,0,2,0,4113,,374.0,2,"{'fifth_gear_duration': 1.2654493121048913, 'first_gear_duration': 1.5241463348696285, 'sixth_gear_duration': 1.771629036946848, 'third_gear_duration': 1.2710564724486502, 'eighth_gear_duration': 86.52465865577008, 'fourth_gear_duration': 2.024718899367826, 'second_gear_duration': 2.7007154803350546, 'seventh_gear_duration': 2.9176258081570166}",,,"{'up': 0, 'down': 66.19506012127026, 'plane': 33.80493987872974}",,21.28,1.1,6.171,,29.444546,86.52466,89.44228,724744.0,1332684.0,7583.0,0,0
[],1067774958987378688-1778610471000,1778610471000,1778610952000,632578958264631296,1067774958987378688,,,1778610471000-632578958264631296-1067774958987378688,,0.0,,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,,6744.0,0,,,,,,,0.15,0.314,,0.0,,,,,,0,0
[],1067763903368265728-1778610411000,1778610411000,1778610892000,632578958264631296,1067763903368265728,,,1778610411000-632578958264631296-1067763903368265728,,0.0,,,0.35,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,481,,4873.0,1,,,,,,,0.108055554,0.488,,0.0,,,,,,0,0
[],1545824482457812992-1778610394000,1778610394000,1778610711000,632578958264631296,1545824482457812992,,,1778610394000-632578958264631296-1545824482457812992,,0.0,,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,,2186.0,0,,,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 0, 'MODE_TURBO': 100}",,,,0.07432972,0.146,,0.0,,,,,,0,0
[],863411203819438080-1778610334000,1778610334000,1778610651000,632578958264631296,863411203819438080,829378564599054336,verified_drivers,1778610334000-632578958264631296-863411203819438080,,0.033,0.398,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,1094.0,1094.0,0,,,"{'MODE_HEAVY': 100, 'MODE_LIGHT': 0, 'MODE_TURBO': 0}",,,,0.03229361,0.083,,1.021874,,,,,,0,0
[],1422205634715058176-1778610284000,1778610284000,1778616150000,632578958264631296,1422205634715058176,,,1778610284000-632578958264631296-1422205634715058176,,40.0,0.016,,2.54,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5805.67,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5866,,2650.0,1,,,,,,,1.6,2.536,,25.0,,,,,,0,0
[],1148896718033518592-1778610261000,1778610261000,1778610771000,632578958264631296,1148896718033518592,,,1778610261000-632578958264631296-1148896718033518592,,0.263,0.469,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,,20636.0,0,,,,,,,,0.561,,,,,,,,0,0
[],1161991673035620352-1778610246000,1778610246000,1778610428000,632578958264631296,1161991673035620352,,,1778610246000-632578958264631296-1161991673035620352,,0.0,,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,,1521.0,0,,,,,,,0.033055555,0.145,,0.0,,,,,,0,0
[],1050441880044568576-1778610149000,1778610149000,1778610780000,632578958264631296,1050441880044568576,,,1778610149000-632578958264631296-1050441880044568576,,0.014,0.048,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,,9028.0,0,,,,,,,0.16833334,0.291,,0.08316832,,,,,,0,0
