vehicle_id,trip_id,start_time,end_time,counts,total_distance,total_fuel_consumed,mean_mileage
1207353920964263936,1787095795000-1205841794575630336-1207353920964263936,1787095795000,1787122260000,1,214.374,60.354,3.551943533154389
1321504772410310656,1787076282000-1205841794575630336-1321504772410310656,1787076282000,1787095232000,1,213.173,47.167,4.519536964403079
1262062608723214336,1787012218000-1205841794575630336-1262062608723214336,1787012218000,1787058273000,1,204.168,40.903,4.991516514681075
1207353169709891584,1787041138000-1205841794575630336-1207353169709891584,1787041138000,1787063978000,1,196.355,43.175,4.547886508396062
1207350809923158016,1787072780000-1205841794575630336-1207350809923158016,1787072780000,1787091638000,1,195.788,42.482,4.608728402617579
1262211418871037952,1787028889000-1205841794575630336-1262211418871037952,1787028889000,1787056545000,2,181.434,37.191,4.878438331854481
1262019157017231360,1787042533000-1205841794575630336-1262019157017231360,1787042533000,1787060381000,1,156.964,22.309,7.0359047917880675
1207322272113623040,1787023557000-1205841794575630336-1207322272113623040,1787023557000,1787043679000,1,150.479,29.822,5.04590570719603
1207352417205616640,1787018179000-1205841794575630336-1207352417205616640,1787018179000,1787034348000,1,150.473,36.386,4.135464189523443
1207324802503671808,1787043670000-1205841794575630336-1207324802503671808,1787043670000,1787058142000,1,145.0,26.569,5.457488049983064
1207351058741854208,1787023698000-1205841794575630336-1207351058741854208,1787023698000,1787039876000,1,136.024,30.974,4.391554206754051
1262075530765664256,1787042554000-1205841794575630336-1262075530765664256,1787042554000,1787061605000,1,129.724,23.388,5.54660509663075
1262052610576220160,1787026584000-1205841794575630336-1262052610576220160,1787026584000,1787046797000,1,128.291,21.607,5.937473966770028
1262014185307373568,1787011594000-1205841794575630336-1262014185307373568,1787011594000,1787029626000,1,127.844,21.13,6.050354945575012
1321504772410310656,1787057263000-1205841794575630336-1321504772410310656,1787057263000,1787071825000,1,127.694,30.295,4.215018980029708
1262205869530021888,1787037615000-1205841794575630336-1262205869530021888,1787037615000,1787061776000,1,125.65,27.849,4.511831663614492
1207350809923158016,1787055336000-1205841794575630336-1207350809923158016,1787055336000,1787070383000,1,124.695,29.251,4.262931181839937
1262224388988600320,1787039371000-1205841794575630336-1262224388988600320,1787039371000,1787055162000,1,121.685,26.0,4.680192307692308
1207352518380617728,1787019184000-1205841794575630336-1207352518380617728,1787019184000,1787034880000,2,119.85999999999999,35.27,3.3983555429543513
1207345153560281088,1787012878000-1205841794575630336-1207345153560281088,1787012878000,1787029354000,1,118.386,23.686,4.99814236257705
1207345153560281088,1787029644000-1205841794575630336-1207345153560281088,1787029644000,1787044770000,1,117.804,22.029,5.347678060738118
1262206641525227520,1787012901000-1205841794575630336-1262206641525227520,1787012901000,1787028971000,1,117.319,18.442,6.361511766619673
1262017082736771072,1787044182000-1205841794575630336-1262017082736771072,1787044182000,1787058856000,1,115.396,20.268,5.693507006118018
1207354467398189056,1787043660000-1205841794575630336-1207354467398189056,1787043660000,1787059825000,1,115.26,22.015,5.235521235521236
1207354467398189056,1787018227000-1205841794575630336-1207354467398189056,1787018227000,1787032998000,1,113.635,21.234,5.35155882075916
1262136222998855680,1787013257000-1205841794575630336-1262136222998855680,1787013257000,1787031064000,1,111.933,20.873,5.362573659751833
1262076027933294592,1787097053000-1205841794575630336-1262076027933294592,1787097053000,1787115776000,1,111.58,22.015,5.068362480127186
1262144362431643648,1787013032000-1205841794575630336-1262144362431643648,1787013032000,1787030913000,1,111.3,18.236,6.1033121298530375
1207352518380617728,1787045343000-1205841794575630336-1207352518380617728,1787045343000,1787059239000,1,109.902,33.577,3.2731333948834025
1262012073911517184,1787018579000-1205841794575630336-1262012073911517184,1787018579000,1787032488000,1,109.671,23.784,4.611125126135217
1207349271276290048,1787021858000-1205841794575630336-1207349271276290048,1787021858000,1787039481000,1,108.638,22.717,4.782233569573448
1262099826342887424,1787044878000-1205841794575630336-1262099826342887424,1787044878000,1787058735000,1,107.96,16.814,6.420839776376829
1262146098550538240,1787038182000-1205841794575630336-1262146098550538240,1787038182000,1787056671000,1,107.041,23.746,4.507748673460793
1262054580212989952,1787043410000-1205841794575630336-1262054580212989952,1787043410000,1787059460000,1,106.685,19.938,5.350837596549304
1207340533945466880,1787018022000-1205841794575630336-1207340533945466880,1787018022000,1787027778000,1,106.528,18.555,5.741201832390192
1262215339517673472,1787045704000-1205841794575630336-1262215339517673472,1787045704000,1787062273000,2,106.375,22.941,4.636894642779303
1262069691845705728,1787028657000-1205841794575630336-1262069691845705728,1787028657000,1787042346000,1,105.216,14.844,7.088116410670978
1207324802503671808,1787024101000-1205841794575630336-1207324802503671808,1787024101000,1787038040000,1,105.012,24.14,4.350124275062138
1262095009591590912,1787013659000-1205841794575630336-1262095009591590912,1787013659000,1787028545000,2,104.3,19.453000000000003,5.361640878013673
1207345693178462208,1787012554000-1205841794575630336-1207345693178462208,1787012554000,1787028161000,1,104.183,22.302,4.671464442650883
1207345693178462208,1787044603000-1205841794575630336-1207345693178462208,1787044603000,1787059584000,1,103.951,21.315,4.876894205958245
1263540421879922688,1787024169000-1205841794575630336-1263540421879922688,1787024169000,1787032764000,1,102.498,15.645,6.5514860977948235
1207354165982920704,1787025426000-1205841794575630336-1207354165982920704,1787025426000,1787035547000,1,101.707,30.479,3.336953312116539
1207347349538471936,1787019542000-1205841794575630336-1207347349538471936,1787019542000,1787037375000,1,100.502,18.567,5.412936931114342
1262016643521839104,1787027724000-1205841794575630336-1262016643521839104,1787027724000,1787041250000,1,100.086,17.018,5.881184628040898
1262215339517673472,1787025978000-1205841794575630336-1262215339517673472,1787025978000,1787040492000,1,99.93,22.11,4.519674355495251
1262220397747634176,1787043203000-1205841794575630336-1262220397747634176,1787043203000,1787055916000,1,99.016,20.792,4.762216237014236
1262213665130545152,1787012538000-1205841794575630336-1262213665130545152,1787012538000,1787028170000,1,98.83,18.793,5.2588729846219335
1207339563534516224,1787024622000-1205841794575630336-1207339563534516224,1787024622000,1787036083000,1,98.743,16.872,5.8524774774774775
1050813038380187648,1787027371000-1205841794575630336-1050813038380187648,1787027371000,1787034122000,1,97.247,6.534,14.88322620140802
1262052865707343872,1787028871000-1205841794575630336-1262052865707343872,1787028871000,1787041306000,1,97.007,17.2,5.639941860465116
1262052865707343872,1787013392000-1205841794575630336-1262052865707343872,1787013392000,1787027866000,1,96.964,17.444,5.558587479935794
1262136222998855680,1787038110000-1205841794575630336-1262136222998855680,1787038110000,1787053759000,1,96.608,17.832,5.417676087931808
1207354165982920704,1787045308000-1205841794575630336-1207354165982920704,1787045308000,1787053780000,1,96.458,29.383,3.2827825613449955
1262056691415908352,1787049474000-1205841794575630336-1262056691415908352,1787049474000,1787060036000,1,95.834,18.059,5.306716872473559
1262095009591590912,1787047677000-1205841794575630336-1262095009591590912,1787047677000,1787060855000,1,95.66,15.806,6.052132101733519
1262143216707174400,1787045213000-1205841794575630336-1262143216707174400,1787045213000,1787056572000,1,95.515,22.624,4.2218440594059405
1207301696301039616,1787027394000-1205841794575630336-1207301696301039616,1787027394000,1787038412000,1,95.175,18.595,5.118311374025276
1207301696301039616,1787043623000-1205841794575630336-1207301696301039616,1787043623000,1787055388000,1,95.144,20.194,4.711498464890562
1207301696301039616,1787013062000-1205841794575630336-1207301696301039616,1787013062000,1787024359000,1,95.113,22.349,4.255805628887199
1207338261337341952,1787046399000-1205841794575630336-1207338261337341952,1787046399000,1787056763000,1,94.739,17.838,5.311077475053257
1262094066884018176,1787021045000-1205841794575630336-1262094066884018176,1787021045000,1787033738000,1,94.311,19.289,4.88936699673389
1207346021273698304,1787040016000-1205841794575630336-1207346021273698304,1787040016000,1787053687000,1,93.379,15.274,6.113591724499149
1207323947960369152,1787013116000-1205841794575630336-1207323947960369152,1787013116000,1787025458000,4,93.0,15.966000000000001,5.824877865464111
1261663499809980416,1787019739000-1205841794575630336-1261663499809980416,1787019739000,1787032102000,1,92.483,18.333,5.044618993072602
1207345599821643776,1787043600000-1205841794575630336-1207345599821643776,1787043600000,1787054807000,1,92.176,14.524,6.346461030019279
1207337867206983680,1787021367000-1205841794575630336-1207337867206983680,1787021367000,1787032411000,1,91.495,19.092,4.792321391158601
1262095089597939712,1787027199000-1205841794575630336-1262095089597939712,1787027199000,1787040328000,1,91.483,16.174,5.656176579695808
1207341938248777728,1787048477000-1205841794575630336-1207341938248777728,1787048477000,1787062087000,1,91.019,17.12,5.3165303738317755
1207297493239332864,1787022184000-1205841794575630336-1207297493239332864,1787022184000,1787040669000,1,90.932,23.139,3.929815463071006
1207323947960369152,1787044632000-1205841794575630336-1207323947960369152,1787044632000,1787057290000,1,90.505,17.002,5.323197270909305
1207341938248777728,1787028616000-1205841794575630336-1207341938248777728,1787028616000,1787041616000,1,90.473,15.503,5.835838224859704
1207353084078981120,1787029936000-1205841794575630336-1207353084078981120,1787029936000,1787042180000,1,90.186,17.741,5.083478947071756
1207350978844557312,1787043350000-1205841794575630336-1207350978844557312,1787043350000,1787055000000,1,89.573,27.74,3.229019466474405
1263152400886136832,1787015555000-1205841794575630336-1263152400886136832,1787015555000,1787024847000,1,89.42,17.803,5.022748974891872
1207355063358455808,1787051243000-1205841794575630336-1207355063358455808,1787051243000,1787060911000,1,89.243,22.508,3.9649457970499378
1262396962972368896,1787043511000-1205841794575630336-1262396962972368896,1787043511000,1787057789000,1,89.049,18.553,4.799708941950089
1207337954922463232,1787024912000-1205841794575630336-1207337954922463232,1787024912000,1787036332000,1,88.988,18.053,4.929263834265773
1262208932907057152,1787041523000-1205841794575630336-1262208932907057152,1787041523000,1787054643000,1,87.847,16.226,5.41396524097128
1262052865707343872,1787043730000-1205841794575630336-1262052865707343872,1787043730000,1787055565000,1,87.689,14.718,5.957942655252072
1207336907516674048,1787040049000-1205841794575630336-1207336907516674048,1787040049000,1787051674000,1,87.372,16.776,5.208154506437769
1207336907516674048,1787025901000-1205841794575630336-1207336907516674048,1787025901000,1787037219000,1,87.272,16.422,5.314334429423944
1207336641052540928,1787037904000-1205841794575630336-1207336641052540928,1787037904000,1787049485000,1,87.183,13.93,6.2586503948313
1262057443693690880,1787045336000-1205841794575630336-1262057443693690880,1787045336000,1787054855000,1,87.109,12.809,6.800608946834257
1207337065251864576,1787041879000-1205841794575630336-1207337065251864576,1787041879000,1787055088000,1,86.818,14.0,6.2012857142857145
1207347610021527552,1787014634000-1205841794575630336-1207347610021527552,1787014634000,1787025479000,1,86.772,14.018,6.190041375374519
1207323563862786048,1787042935000-1205841794575630336-1207323563862786048,1787042935000,1787056228000,1,86.614,17.873,4.846080680355844
1207323563862786048,1787026866000-1205841794575630336-1207323563862786048,1787026866000,1787039196000,1,86.535,18.0,4.8075
1262071077832491008,1787028565000-1205841794575630336-1262071077832491008,1787028565000,1787040744000,1,86.361,17.045,5.066647110589615
1262446489297223680,1787043518000-1205841794575630336-1262446489297223680,1787043518000,1787056376000,1,86.274,17.462,4.940671171687092
1262226735076737024,1787016569000-1205841794575630336-1262226735076737024,1787016569000,1787027764000,1,85.937,14.264,6.024747616376893
1341890676589068288,1787090047000-1205841794575630336-1341890676589068288,1787090047000,1787095668000,1,85.468,6.63,12.891101055806939
1207353920964263936,1787026158000-1205841794575630336-1207353920964263936,1787026158000,1787037368000,1,85.368,20.831,4.098122989774855
1207355284746403840,1787015265000-1205841794575630336-1207355284746403840,1787015265000,1787025640000,1,85.259,22.188,3.8425725617450874
1263152400886136832,1787046200000-1205841794575630336-1263152400886136832,1787046200000,1787056235000,1,85.146,17.463,4.87579453702113
1262076027933294592,1787041094000-1205841794575630336-1262076027933294592,1787041094000,1787052719000,1,85.011,15.154,5.609805991817342
1262056980667695104,1787021436000-1205841794575630336-1262056980667695104,1787021436000,1787036710000,1,84.94,19.866,4.275646833786369
1262028854814310400,1787012333000-1205841794575630336-1262028854814310400,1787012333000,1787024032000,1,84.665,14.713,5.754434853530892
1262062199849877504,1787045974000-1205841794575630336-1262062199849877504,1787045974000,1787058241000,1,84.565,13.776,6.138574332171893
1262094214787760128,1787041298000-1205841794575630336-1262094214787760128,1787041298000,1787054018000,1,84.539,12.338,6.851920894796564
1341890676589068288,1787033012000-1205841794575630336-1341890676589068288,1787033012000,1787039729000,1,84.475,7.223,11.695278969957082
1262392257697284096,1787028306000-1205841794575630336-1262392257697284096,1787028306000,1787039906000,1,84.43,14.619,5.775360831794241
1207340356891312128,1787020212000-1205841794575630336-1207340356891312128,1787020212000,1787035112000,1,84.0,21.963,3.8246141237535856
1207343960268210176,1787028540000-1205841794575630336-1207343960268210176,1787028540000,1787040122000,1,83.791,15.308,5.47367389600209
1207323563862786048,1787013083000-1205841794575630336-1207323563862786048,1787013083000,1787024999000,1,83.786,17.774,4.713964217396197
1207343960268210176,1787045250000-1205841794575630336-1207343960268210176,1787045250000,1787057069000,1,83.779,16.243,5.157852613433479
1262203843446308864,1787012679000-1205841794575630336-1262203843446308864,1787012679000,1787029411000,1,83.457,14.079,5.927764756019603
1262400700470525952,1787012467000-1205841794575630336-1262400700470525952,1787012467000,1787025525000,1,83.266,14.609,5.699637209939079
1262026543090106368,1787012918000-1205841794575630336-1262026543090106368,1787012918000,1787025077000,1,82.98,17.376,4.775552486187845
1262094214787760128,1787013708000-1205841794575630336-1262094214787760128,1787013708000,1787025275000,1,82.876,11.828,7.006763611768685
1207354165982920704,1787056331000-1205841794575630336-1207354165982920704,1787056331000,1787064043000,1,82.839,23.317,3.5527297679804435
1050813038380187648,1787059700000-1205841794575630336-1050813038380187648,1787059700000,1787065068000,1,82.834,5.812,14.25223675154852
1207353169709891584,1787010388000-1205841794575630336-1207353169709891584,1787010388000,1787020570000,1,82.557,20.612,4.005288181641762
1262093093448974336,1787027300000-1205841794575630336-1262093093448974336,1787027300000,1787040333000,1,82.11,16.085,5.104755983835871
1262399706210762752,1787044249000-1205841794575630336-1262399706210762752,1787044249000,1787057344000,1,81.941,17.855,4.589246709605153
1207351058741854208,1787009369000-1205841794575630336-1207351058741854208,1787009369000,1787019050000,1,81.92,17.804,4.601213210514492
1262093093448974336,1787045304000-1205841794575630336-1262093093448974336,1787045304000,1787059089000,1,81.795,15.61,5.239910313901346
1305231238159663104,1787012921000-1205841794575630336-1305231238159663104,1787012921000,1787022555000,1,81.762,14.978,5.458806249165443
1262397724972548096,1787014078000-1205841794575630336-1262397724972548096,1787014078000,1787023306000,1,81.719,14.149,5.775602516078875
1262213665130545152,1787030404000-1205841794575630336-1262213665130545152,1787030404000,1787041284000,1,81.649,12.85,6.354007782101167
1207354341095112704,1787036142000-1205841794575630336-1207354341095112704,1787036142000,1787047147000,1,81.613,20.084,4.063582951603267
1321504772410310656,1787043453000-1205841794575630336-1321504772410310656,1787043453000,1787052982000,1,81.59,19.748,4.131557626088718
1262213270287155200,1787026364000-1205841794575630336-1262213270287155200,1787026364000,1787039248000,1,81.306,17.68,4.598755656108597
1207338538970906624,1787012960000-1205841794575630336-1207338538970906624,1787012960000,1787024277000,1,81.015,13.28,6.100527108433735
1262135674694270976,1787027143000-1205841794575630336-1262135674694270976,1787027143000,1787040618000,1,80.755,17.153,4.707922812336035
1207323821376274432,1787022729000-1205841794575630336-1207323821376274432,1787022729000,1787031133000,1,80.531,19.788,4.069688700222358
1207324890613415936,1787013968000-1205841794575630336-1207324890613415936,1787013968000,1787028914000,1,80.379,16.787,4.788169416810628
1207338913971044352,1787019954000-1205841794575630336-1207338913971044352,1787019954000,1787031670000,1,80.22,15.956,5.027575833542241
1207323249155768320,1787015377000-1205841794575630336-1207323249155768320,1787015377000,1787024647000,1,80.0,18.763,4.263710494057453
1207337633584250880,1787044177000-1205841794575630336-1207337633584250880,1787044177000,1787055056000,1,79.952,13.622,5.8693290265746585
1262398529066762240,1787017345000-1205841794575630336-1262398529066762240,1787017345000,1787030595000,1,79.54,16.359,4.8621553884711775
1262211039764676608,1787028139000-1205841794575630336-1262211039764676608,1787028139000,1787040236000,1,79.513,14.865,5.349007736293307
1262197871185231872,1787016240000-1205841794575630336-1262197871185231872,1787016240000,1787033351000,1,79.498,16.343,4.864345591384691
1263152400886136832,1787056825000-1205841794575630336-1263152400886136832,1787056825000,1787064577000,1,79.415,16.021,4.956931527370327
1262144069878939648,1787013144000-1205841794575630336-1262144069878939648,1787013144000,1787021552000,1,79.345,10.602,7.4839652895680056
1207337475438018560,1787043590000-1205841794575630336-1207337475438018560,1787043590000,1787055649000,1,79.338,15.642,5.072113540467971
1207337475438018560,1787028960000-1205841794575630336-1207337475438018560,1787028960000,1787040039000,1,79.322,14.665,5.408932833276509
1262026838155198464,1787012814000-1205841794575630336-1262026838155198464,1787012814000,1787022871000,1,79.2,10.648,7.43801652892562
1262056838044581888,1787020223000-1205841794575630336-1262056838044581888,1787020223000,1787031927000,1,79.101,13.399,5.903500261213524
1262026838155198464,1787045174000-1205841794575630336-1262026838155198464,1787045174000,1787055243000,1,79.084,10.367,7.628436384682164
1262144772231921664,1787030414000-1205841794575630336-1262144772231921664,1787030414000,1787043393000,1,79.021,18.089,4.368455967715186
1262196496141385728,1787045561000-1205841794575630336-1262196496141385728,1787045561000,1787057402000,1,78.618,12.983,6.055457136255102
1262053799019675648,1787027296000-1205841794575630336-1262053799019675648,1787027296000,1787037527000,1,78.344,12.797,6.122059857779166
1262023465255305216,1787015187000-1205841794575630336-1262023465255305216,1787015187000,1787025668000,1,77.958,13.787,5.6544570972655395
1207301051678457856,1787042012000-1205841794575630336-1207301051678457856,1787042012000,1787051862000,1,77.9,12.48,6.24198717948718
1262125284476321792,1787012922000-1205841794575630336-1262125284476321792,1787012922000,1787024271000,1,77.465,13.556,5.714443788728239
1262074593548435456,1787020280000-1205841794575630336-1262074593548435456,1787020280000,1787031081000,1,77.402,14.995,5.161853951317106
1262203843446308864,1787039411000-1205841794575630336-1262203843446308864,1787039411000,1787053367000,1,77.23,12.347,6.254960719203046
1207324507027537920,1787017020000-1205841794575630336-1207324507027537920,1787017020000,1787027421000,2,77.0,13.539,5.687273801610163
